Market,Agency__c,Forecast_Month__c,Forecast_Year__c,Forecast__c,CurrencyIsoCode,Forecast_Type__c,Forecast_Quarter__c,Business_Unit__c,Forecast_Level__c
United States,a00i000000SVQyAAAX,Jan,2016,78172000,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVQyAAAX,Feb,2016,263741491,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVQyAAAX,Mar,2016,540492336,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVQyAAAX,Apr,2016,407227856,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVQyAAAX,May,2016,572691214,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVQyAAAX,Jun,2016,685880119,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVQyAAAX,Jul,2016,549160777,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVQyAAAX,Aug,2016,727008430,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVQyAAAX,Sep,2016,700305452,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVQyAAAX,Oct,2016,509781428,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVQyAAAX,Nov,2016,440002899,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVQyAAAX,Dec,2016,485777297,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVR8tAAH,Jan,2016,436649000,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVR8tAAH,Feb,2016,495594480,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVR8tAAH,Mar,2016,957390568,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVR8tAAH,Apr,2016,1020245903,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVR8tAAH,May,2016,1011220188,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVR8tAAH,Jun,2016,782990721,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVR8tAAH,Jul,2016,807322788,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVR8tAAH,Aug,2016,1167425888,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVR8tAAH,Sep,2016,443399965,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVR8tAAH,Oct,2016,685388230,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVR8tAAH,Nov,2016,910388230,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVR8tAAH,Dec,2016,800388230,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVR9NAAX,Jan,2016,122904762,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVR9NAAX,Feb,2016,235136080,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVR9NAAX,Mar,2016,328851203,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVR9NAAX,Apr,2016,330217250,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVR9NAAX,May,2016,229143630,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVR9NAAX,Jun,2016,459671360,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVR9NAAX,Jul,2016,287619324,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVR9NAAX,Aug,2016,240187858,USD,Cartesis,Q3RF 2016,Light Reaction,Market
United States,a00i000000SVR9NAAX,Sep,2016,159786817,USD,Cartesis,Q3RF 2016,Light Reaction,Market
