Market,Agency__c,Forecast_Month__c,Forecast_Year__c,Forecast__c,CurrencyIsoCode,Forecast_Type__c,Forecast_Quarter__c,Business_Unit__c,Forecast_Level__c,Id,Name
United States,a00i000000ayOYjAAM,Apr,2016,11446285,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjGEAT,FR-23749
United States,a00i000000ayOYjAAM,Aug,2016,10104599,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjKEAT,FR-23753
United States,a00i000000ayOYjAAM,Dec,2016,11053550,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjOEAT,FR-23757
United States,a00i000000ayOYjAAM,Feb,2016,4424333,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjEEAT,FR-23747
United States,a00i000000ayOYjAAM,Jan,2016,4091970,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjDEAT,FR-23746
United States,a00i000000ayOYjAAM,Jul,2016,8255180,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjJEAT,FR-23752
United States,a00i000000ayOYjAAM,Jun,2016,10783743,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjIEAT,FR-23751
United States,a00i000000ayOYjAAM,Mar,2016,10503431,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjFEAT,FR-23748
United States,a00i000000ayOYjAAM,May,2016,12053427,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjHEAT,FR-23750
United States,a00i000000ayOYjAAM,Nov,2016,11091650,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjNEAT,FR-23756
United States,a00i000000ayOYjAAM,Oct,2016,9705740,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjMEAT,FR-23755
United States,a00i000000ayOYjAAM,Sep,2016,9357520,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjLEAT,FR-23754
United States,a00i000000SVQyAAAX,Apr,2016,407227.9,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviAEAT,FR-23686
United States,a00i000000SVQyAAAX,Apr,2016,5083226,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjSEAT,FR-23761
United States,a00i000000SVQyAAAX,Aug,2016,727008.4,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviEEAT,FR-23690
United States,a00i000000SVQyAAAX,Aug,2016,82429.07,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGviyEAD,FR-23731
United States,a00i000000SVQyAAAX,Aug,2016,6557962,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjbEAD,FR-23765
United States,a00i000000SVQyAAAX,Dec,2016,485777.3,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGviIEAT,FR-23694
United States,a00i000000SVQyAAAX,Dec,2016,92143.6,USD,Cartesis,Q3RF 2016,plista,Market,a0M3100000GGvj2EAD,FR-23735
United States,a00i000000SVQyAAAX,Dec,2016,4774937,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjfEAD,FR-23769
United States,a00i000000SVQyAAAX,Feb,2016,263741.5,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvi8EAD,FR-23684
United States,a00i000000SVQyAAAX,Feb,2016,5509207,USD,Cartesis,Q3RF 2016,Xaxis,Market,a0M3100000GGvjQEAT,FR-23759
United States,a00i000000SVQyAAAX,Jan,2016,78172,USD,Cartesis,Q3RF 2016,Light Reaction,Market,a0M3100000GGvi7EAD,FR-23683
