Market,Agency__c,Forecast_Month__c,Forecast_Year__c,Forecast__c,CurrencyIsoCode,Forecast_Type__c,Forecast_Quarter__c,Business_Unit__c,Forecast_Level__c
Austria,a00i000000GIJl7AAH,Jan,2016,183951.8,USD,Cartesis,Q3RF 2016,Xaxis,Market
Austria,a00i000000GIJl7AAH,Feb,2016,506025.2,USD,Cartesis,Q3RF 2016,Xaxis,Market
Austria,a00i000000GIJl7AAH,Mar,2016,396962.7,USD,Cartesis,Q3RF 2016,Xaxis,Market
Austria,a00i000000GIJl7AAH,Apr,2016,423599.5,USD,Cartesis,Q3RF 2016,Xaxis,Market
Austria,a00i000000GIJl7AAH,May,2016,433704.4,USD,Cartesis,Q3RF 2016,Xaxis,Market
Austria,a00i000000GIJl7AAH,Jun,2016,377146,USD,Cartesis,Q3RF 2016,Xaxis,Market
Austria,a00i000000GIJl7AAH,Jul,2016,327416.5,USD,Cartesis,Q3RF 2016,Xaxis,Market
Austria,a00i000000GIJl7AAH,Aug,2016,496321.1,USD,Cartesis,Q3RF 2016,Xaxis,Market
Austria,a00i000000GIJl7AAH,Sep,2016,698945.9,USD,Cartesis,Q3RF 2016,Xaxis,Market
Austria,a00i000000GIJl7AAH,Oct,2016,724051.5,USD,Cartesis,Q3RF 2016,Xaxis,Market
Austria,a00i000000GIJl7AAH,Nov,2016,678054.1,USD,Cartesis,Q3RF 2016,Xaxis,Market
Austria,a00i000000GIJl7AAH,Dec,2016,701852.2,USD,Cartesis,Q3RF 2016,Xaxis,Market
Netherlands,a00i000000GIJlDAAX,Jan,2016,221373.2,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Netherlands,a00i000000GIJlDAAX,Feb,2016,268437.9,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Netherlands,a00i000000GIJlDAAX,Mar,2016,437553.9,USD,Cartesis,Q3RF 2016,Light Reaction,Market
Netherlands,a00i000000GIJlDAAX,Apr,2016,343026.1,USD,Cartesis,Q3RF 2016,Light Reaction,Market
