External_ID__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,RecordTypeId,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,CloseDate,Frequency_Cap__c,Frequency_Scope__c,Id,Special_Product__c,StartDate,Target_Age_Freeform_Entry__c,Target_Gender__c
Netherlands Reference number: 20160263,3034,"Targeting op Turbine segmenten + provincies Zeeland en Noord-Brabant : Arts & Entertainment_Fine Art, Education_History, Hobbies & Interests_Drawing or sketching_Freelance writing_Jewelry making_Painting_Photography",Net Cost (Calc Margin),012i0000001EB0nAAG,1103273,0,Externally Managed,,2.75,CPM,"Jun 5, 2016",3,Per campaign,0063100000fJdDIAA0,Display - Standard,"May 15, 2016",,
Netherlands Reference number: 20160181,7200,doelgroep+ BDS 35-49.,Net Cost (Calc Margin),012i0000001EB0nAAG,533333,0,Externally Managed,,13.5,CPM,"Apr 22, 2016",3,Per campaign,0063100000fJYa0AAG,Video - Preroll 20s,"Apr 7, 2016",35-49,Female
Netherlands Reference number: 20160182,9599.89,2016-04 Sensodyne iVIDEO,Net Cost (Calc Margin),012i0000001EB0nAAG,711103,0,Externally Managed,,13.5,CPM,"Apr 24, 2016",3,Per campaign,0063100000fJYa1AAG,Video - Preroll 20s,"Apr 4, 2016",20-49,Female
Netherlands Reference number: 20160323,7200.35,2016-06 Paradontax,Net Cost (Calc Margin),012i0000001EB0nAAG,533359,0,Externally Managed,,13.5,CPM,"Jun 26, 2016",3,Per campaign,0063100000fJYa2AAG,Video - Preroll 20s,"Jun 6, 2016",20-54,
Netherlands Reference number: 20160321,7365.25,25 sec dag verlengd om volledig uit te leveren,Net Cost (Calc Margin),012i0000001EB0nAAG,545574,0,Externally Managed,,13.5,CPM,"Jun 27, 2016",3,Per campaign,0063100000fJYa3AAG,Video - Preroll 20s,"Jun 6, 2016",20-49,Female
Netherlands Reference number: 20160404,7750.3,2016-07 Sensodyne AV,Net Cost (Calc Margin),012i0000001EB0nAAG,574096,0,Externally Managed,,13.5,CPM,"Jul 24, 2016",3,Per campaign,0063100000fJYa4AAG,Video - Preroll 20s,"Jul 4, 2016",20-49,Female
Netherlands Reference number: 20160407,7200.35,28-7 outstream en mobile toegevoegd,Net Cost (Calc Margin),012i0000001EB0nAAG,533359,0,Externally Managed,,13.5,CPM,"Jul 31, 2016",3,Per campaign,0063100000fJYa5AAG,Video - Preroll 20s,"Jul 18, 2016",20-54,Female
Netherlands Reference number: 20160408,11499.65,2016-07 Proglasur AV,Net Cost (Calc Margin),012i0000001EB0nAAG,851826,0,Externally Managed,,13.5,CPM,"Aug 14, 2016",3,Per campaign,0063100000fJYa6AAG,Video - Preroll 20s,"Jul 25, 2016",20-49,Female
Netherlands Reference number: 20160463,9292.2,2016-08 Aquafresh AV,Net Cost (Calc Margin),012i0000001EB0nAAG,688311,0,Externally Managed,,13.5,CPM,"Aug 21, 2016",3,Per campaign,0063100000fJYa7AAG,Video - Preroll 20s,"Aug 1, 2016",20-49,Female
Netherlands Reference number: 20160466,7750.3,MCM-57573-2016-1161 -- 2016-08 Sensodyne AV,Net Cost (Calc Margin),012i0000001EB0nAAG,574096,0,Externally Managed,,13.5,CPM,"Sep 4, 2016",3,Per campaign,0063100000fJYa8AAG,Video - Preroll 20s,"Aug 15, 2016",20-49,Female
Netherlands Reference number: 20160464,7200.35,MCM-57573-2016-1164 -- 2016-08 Parodontax AV,Net Cost (Calc Margin),012i0000001EB0nAAG,533359,0,Externally Managed,,13.5,CPM,"Sep 4, 2016",3,Per campaign,0063100000fJYa9AAG,Video - Preroll 20s,"Aug 22, 2016",20-54,
Netherlands Reference number: 20160273,4920.02,MAX-126634-2016-0163 -- P9 Launch- Apr-Jun 2016,Net Cost (Calc Margin),012i0000001EB0nAAG,351430,0,Externally Managed,"Retargeting op basis van de OLV inzet. Retargeting moet plaats vinden op 22-40 jaar en de Turbine segmenten Arts & Entertainment (zonder subsegment Gossip), Science, Technology & Computing, Style & Fashion. Het is bekend dat de retargeting op deze wijze beperkt is. 13-5: De retargeting wordt omgezet o.b.v. nu.nl retargeting. : Arts & Entertainment (zonder subsegment Gossip), Science, Technology & Computing, Style & Fashion",14,CPM,"May 29, 2016",1,Per campaign,0063100000fJYaaAAG,Display - Frequency booster,"Apr 22, 2016",22-40,
