Opportunity__c,External_ID__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,RecordTypeId,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Opp_Buy_Description__c,Rate__c,Buy_Type__c,Frequency_Cap__c,Frequency_Scope__c,Special_Product__c,Target_Age_Freeform_Entry__c,Target_Gender__c
0063100000fJYawAAG,Netherlands: 20160034,"Jan 18, 2016","Feb 21, 2016",19040,2016.VIMN.COMEDYCENTRAL.0102.OLV-1.0,Net Cost (Calc Margin),012i0000001EB0nAAG,1655652,0,Externally Managed,,11.5,CPM,3,Per campaign,Mobile - Video,18-34,
0063100000fJYaHAAW,Netherlands: 20160160,"Mar 14, 2016","Mar 27, 2016",9435.84,Doelgroep BDS 20-49. Cap 3 op campagneniveau en een cap van 1 per week als dit kan.,Net Cost (Calc Margin),012i0000001EB0nAAG,698951,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,20-49,
0063100000fJYbZAAW,Netherlands: 20150780,"Nov 18, 2015","Mar 6, 2016",9660.5,Frank -> briefing Suzanne. Retargeting preroll non-viewers.,Net Cost (Calc Margin),012i0000001EB0nAAG,690036,0,Externally Managed,,14,CPM,2,Per campaign,Xaxis Display,18-34,
0063100000fJYbgAAG,Netherlands: 20160184,"Apr 4, 2016","May 3, 2016",6749.84,Activia Fusion AV Challenge,Net Cost (Calc Margin),012i0000001EB0nAAG,499988,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,25-40,Female
0063100000fJYaGAAW,Netherlands: 20160172,"Apr 18, 2016","May 1, 2016",5181.6,tijdvak 16:30 tm 20:00 uur.,Net Cost (Calc Margin),012i0000001EB0nAAG,383822,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,20-29,
0063100000fJYivAAG,Netherlands: 20150809,"Nov 20, 2015","Jan 3, 2016",29911.97,Week 50 uitsluiten met eerste contacten bereiken. Enkel retargeting.,Net Cost (Calc Margin),012i0000001EB0nAAG,2800000,0,Externally Managed,,11.5,CPM,3,Per campaign,Xaxis TV,18-30,
0063100000fJYaVAAW,Netherlands: 20150834,"Dec 16, 2015","Jan 13, 2016",7075,"Focus op Entertainment, Nieuws en Sport umfelt. Enkel uitlevering op Android devices.",Net Cost (Calc Margin),012i0000001EB0nAAG,1179167,0,Externally Managed,,6,CPM,3,Per campaign,Xaxis Mobile,18-35,
0063100000fJYifAAG,Netherlands: 20160246,"Apr 18, 2016","May 31, 2016",2500,MDS-48634-2016-0381 -- Uw Maatwerk,Net Cost (Calc Margin),012i0000001EB0nAAG,416667,0,Externally Managed,Mobile Swipe Cube. Het materiaal wordt volledig aangeleverd. Om de interactie met de swipe cube in kaart te brengen gaan we een tag implementeren zodat we het aantal swipes in kaart kunnen brengen. Deze tag zet Xaxis op. Per event wordt er een tag aangemaakt (dus voor de verschillende visuals),6,CPM,3,Per campaign,Mobile - Halfpage ad,35-65,Male
0063100000fJYbLAAW,Netherlands: 20160190,"Mar 22, 2016","Apr 11, 2016",19099.99,doelgroep+cap nagevraagd,Net Cost (Calc Margin),012i0000001EB0nAAG,1414814,0,Externally Managed,,13.5,CPM,3,Per campaign,Video - Preroll 20s,35-54,Male
0063100000fJYbOAAW,Netherlands: 20160257,"Apr 14, 2016","Apr 30, 2016",9999.99,Karcher Window Vac Display - Apr-Oct 2016 - Flight 1,Net Cost (Calc Margin),012i0000001EB0nAAG,714285,0,Externally Managed,,14,CPM,3,Per campaign,Display - Frequency booster,20-49,Female
