Opportunity__c,External_Id__c,Product_Detail__C,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Media_Net_Cost__c,Input_Mode__c,Audience_Tier__c,Opp_Buy_Description__c,Media_Code__c
0063100000fkOa7AAE,NordicOrderID:16543,Xaxis TV,2015-04-01 12:00:00,2015-06-30 12:00:00,-163984,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
0063100000fkOLFAA2,NordicOrderID:12505,Xaxis TV,2015-11-15 12:00:00,2015-12-15 12:00:00,-75243,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
0063100000fkOMIAA2,NordicOrderID:14715,Xaxis TV,2015-12-01 12:00:00,2015-12-31 12:00:00,-73983,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,FACEBOOK TARGETED MOTHERS....,Video
0063100000fkOj9AAE,NordicOrderID:11625,Xaxis TV,2015-06-22 12:00:00,2015-08-02 12:00:00,-50000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
0063100000fkOjVAAU,NordicOrderID:19351,Xaxis TV,2015-05-07 12:00:00,2015-05-24 12:00:00,-39586,Xaxis DK - Video,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
0063100000fkOj7AAE,NordicOrderID:11626,Xaxis TV,2015-05-27 12:00:00,2015-06-21 12:00:00,-39000,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
0063100000fkOVDAA2,NordicOrderID:10993,Xaxis TV,2015-06-22 12:00:00,2015-12-31 12:00:00,-29481,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
0063100000fkOW1AAM,NordicOrderID:11618,Xaxis TV,2015-04-15 12:00:00,2020-01-01 12:00:00,-27979,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
0063100000fkOMXAA2,NordicOrderID:19495,Xaxis TV,2015-10-07 12:00:00,2015-10-31 12:00:00,-23666,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
0063100000fkOMVAA2,NordicOrderID:19496,Xaxis TV,2015-11-06 12:00:00,2015-11-30 12:00:00,-23666,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
0063100000fkOMIAA2,NordicOrderID:14717,Xaxis TV,2015-12-01 12:00:00,2015-12-31 12:00:00,-23666,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,FACEBOOK TARGETED MOTHERS....,Video
0063100000fkOMJAA2,NordicOrderID:19498,Xaxis TV,2015-12-01 12:00:00,2015-12-31 12:00:00,-23666,Xaxis DK - Programmatic,Net Cost (Calc Margin),MediaTrader,012i0000001EB0fAAG,0,Externally Managed,Triggers,,Video
