Opportunity__c,External_ID__c,Start_Date__c,End_Date__c,Gross_Cost__c,Buy_Name_txt__c,Imputing_Margin_or_Net__c,PackageType__c,RecordTypeId,Buy_Volume__c,Media_Net_Cost__c,Input_Mode__c,Rate__c,Buy_Type__c,Media_Code__c,Special_Product__c
0063100000elQjgAAE,Swiss:17824-8,"Jan 4, 2016","Dec 29, 2016",1518.05,Xaxis Premium_XAXIS-XP-UAP-F,Net Cost (Calc Margin),MediaTrader,012i0000001EB0xAAG,379511,470.5955,Externally Managed,4,CPM,Display,Xaxis Premium
0063100000elQjgAAE,Swiss:17824-9,"Jan 4, 2016","Dec 29, 2016",295.9,Xaxis Premium_XAXIS-XP-UAP-I,Net Cost (Calc Margin),MediaTrader,012i0000001EB0xAAG,73978,91.729,Externally Managed,4,CPM,Display,Xaxis Premium
0063100000elQjgAAE,Swiss:17824-5,"Jan 4, 2016","Dec 29, 2016",368,Xaxis Mobile_XAXIS-XM-MRT-F,Net Cost (Calc Margin),MediaTrader,012i0000001EB0xAAG,16727,191.36,Externally Managed,22,CPM,Mobile,Xaxis Mobile
0063100000elQjgAAE,Swiss:17824-7,"Jan 4, 2016","Dec 29, 2016",3393.7,Xaxis Premium_XAXIS-XP-UAP-D,Net Cost (Calc Margin),MediaTrader,012i0000001EB0xAAG,848426,1052.047,Externally Managed,4,CPM,Display,Xaxis Premium
0063100000elQjgAAE,Swiss:17824-4,"Jan 4, 2016","Dec 29, 2016",955.85,Xaxis Mobile_XAXIS-XM-MRT-D,Net Cost (Calc Margin),MediaTrader,012i0000001EB0xAAG,43448,497.042,Externally Managed,22,CPM,Mobile,Xaxis Mobile
0063100000elQjgAAE,Swiss:17824-6,"Jan 4, 2016","Dec 29, 2016",53.6,Xaxis Mobile_XAXIS-XM-MRT-I,Net Cost (Calc Margin),MediaTrader,012i0000001EB0xAAG,2437,27.872,Externally Managed,21.99,CPM,Mobile,Xaxis Mobile
0063100000elQjhAAE,Swiss:17820-6,"Jan 4, 2016","Dec 29, 2016",61.4,Xaxis TV_XAXIS-XT-ROLLS-I,Net Cost (Calc Margin),MediaTrader,012i0000001EB0xAAG,1,37.454,Externally Managed,61.4,CPM,Video,Xaxis TV
0063100000elQjhAAE,Swiss:17820-4,"Jan 4, 2016","Dec 29, 2016",514.35,Xaxis TV_XAXIS-XT-ROLLS-F,Net Cost (Calc Margin),MediaTrader,012i0000001EB0xAAG,17736,313.7535,Externally Managed,29,CPM,Video,Xaxis TV
0063100000elQjhAAE,Swiss:17820-5,"Jan 4, 2016","Dec 29, 2016",63.15,Xaxis TV_XAXIS-XT-ROLLS-I,Net Cost (Calc Margin),MediaTrader,012i0000001EB0xAAG,2177,38.5215,Externally Managed,29.01,CPM,Video,Xaxis TV
0063100000elQjhAAE,Swiss:17820-3,"Jan 4, 2016","Dec 29, 2016",464.6,Xaxis TV_XAXIS-XT-ROLLS-F,Net Cost (Calc Margin),MediaTrader,012i0000001EB0xAAG,16021,283.406,Externally Managed,29,CPM,Video,Xaxis TV
0063100000elQjhAAE,Swiss:17820-2,"Jan 4, 2016","Dec 29, 2016",1397.9,Xaxis TV_XAXIS-XT-ROLLS-D,Net Cost (Calc Margin),MediaTrader,012i0000001EB0xAAG,48204,852.719,Externally Managed,29,CPM,Video,Xaxis TV
0063100000elQjhAAE,Swiss:17820-1,"Jan 4, 2016","Dec 29, 2016",1549.65,Xaxis TV_XAXIS-XT-ROLLS-D,Net Cost (Calc Margin),MediaTrader,012i0000001EB0xAAG,53437,945.2865,Externally Managed,29,CPM,Video,Xaxis TV
0063100000elQjmAAE,Swiss:17827-2,"Jan 10, 2016","Nov 23, 2016",163.55,Xaxis TV_XAXIS-XT-ROLLS-F,Net Cost (Calc Margin),MediaTrader,012i0000001EB0xAAG,5640,99.7655,Externally Managed,29,CPM,Video,Xaxis TV
0063100000elQjmAAE,Swiss:17827-3,"Jan 10, 2016","Nov 23, 2016",32.05,Xaxis TV_XAXIS-XT-ROLLS-I,Net Cost (Calc Margin),MediaTrader,012i0000001EB0xAAG,1106,19.5505,Externally Managed,28.98,CPM,Video,Xaxis TV
0063100000elQjmAAE,Swiss:17827-1,"Jan 10, 2016","Nov 23, 2016",2376.7,Xaxis TV_XAXIS-XT-ROLLS-D,Net Cost (Calc Margin),MediaTrader,012i0000001EB0xAAG,81955,1449.787,Externally Managed,29,CPM,Video,Xaxis TV
0063100000elQjnAAE,Swiss:17828-2,"Jan 10, 2016","Nov 23, 2016",21.35,Xaxis Premium_XAXIS-XP-HP-F,Net Cost (Calc Margin),MediaTrader,012i0000001EB0xAAG,928,9.1805,Externally Managed,23.01,CPM,Display,Xaxis Premium
0063100000elQjnAAE,Swiss:17828-5,"Jan 10, 2016","Nov 23, 2016",1129.1,Xaxis Mobile_XAXIS-XM-MRT-D,Net Cost (Calc Margin),MediaTrader,012i0000001EB0xAAG,43426,587.132,Externally Managed,26,CPM,Mobile,Xaxis Mobile
0063100000elQjnAAE,Swiss:17828-1,"Jan 10, 2016","Nov 23, 2016",4074.55,Xaxis Premium_XAXIS-XP-HP-D,Net Cost (Calc Margin),MediaTrader,012i0000001EB0xAAG,177155,1752.056,Externally Managed,23,CPM,Display,Xaxis Premium
0063100000elQjnAAE,Swiss:17828-6,"Jan 10, 2016","Nov 23, 2016",313.05,Xaxis Mobile_XAXIS-XM-MRT-F,Net Cost (Calc Margin),MediaTrader,012i0000001EB0xAAG,12040,162.786,Externally Managed,26,CPM,Mobile,Xaxis Mobile
0063100000elQjnAAE,Swiss:17828-4,"Jan 10, 2016","Nov 23, 2016",22.2,Xaxis Premium_XAXIS-XP-WB-I,Net Cost (Calc Margin),MediaTrader,012i0000001EB0xAAG,792,12.432,Externally Managed,28.03,CPM,Display,Xaxis Premium
0063100000elQjnAAE,Swiss:17828-3,"Jan 10, 2016","Nov 23, 2016",192.6,Xaxis Premium_XAXIS-XP-WB-F,Net Cost (Calc Margin),MediaTrader,012i0000001EB0xAAG,6878,107.856,Externally Managed,28,CPM,Display,Xaxis Premium
0063100000elQmHAAU,Swiss:18861-3,"May 16, 2016","Jun 12, 2016",311.85,Xaxis TV_XAXIS-XT-ROLLS-I,Net Cost (Calc Margin),MediaTrader,012i0000001EB0xAAG,10753,152.8065,Externally Managed,29,CPM,Video,Xaxis TV
0063100000elQmHAAU,Swiss:19087-2,"May 16, 2016","Jun 12, 2016",2017.1,Xaxis TV_XAXIS-XT-ROLLS-F,Net Cost (Calc Margin),MediaTrader,012i0000001EB0xAAG,69556,1109.405,Externally Managed,29,CPM,Video,Xaxis TV
0063100000elQmHAAU,Swiss:18861-1,"May 16, 2016","Jun 12, 2016",3238.1,Xaxis TV_XAXIS-XT-ROLLS-D,Net Cost (Calc Margin),MediaTrader,012i0000001EB0xAAG,111659,1586.669,Externally Managed,29,CPM,Video,Xaxis TV
